#CellList
#Coordinate Time=591659.4468163316
#Id(1) x(2) Volume(3) S(4) D(5) E(6) 3-Vel(7) rho0(8) eps(9) p(10) left(12) right(13) 
53 110.76249999999999 0.5750000000000028 1.4668265936269438E-4 13.37087539945504 7.24764854824111E-8 3291.0932171423888 1.8034657994549966E36 6.50698348158968E29 8.700406535341236E42 53 54
54 111.3375 0.5750000000000028 1.478329569396423E-4 13.358388453806896 7.235611733195957E-8 3320.0027651183154 1.8017815582390042E36 6.500907039913135E29 8.68416415359298E42 54 55
55 111.9125 0.5749999999999886 1.489817540557911E-4 13.345833084515776 7.223524464746331E-8 3348.9498521867195 1.8000880880311545E36 6.49479649601591E29 8.66784699483255E42 55 56
56 112.4875 0.575000000000017 1.5013735273594468E-4 13.333299006219336 7.211494833991476E-8 3378.099097260662 1.7983974895560248E36 6.488698402235487E29 8.651575595269854E42 56 57
57 113.0625 0.5749999999999886 1.513044702979662E-4 13.320809303858017 7.199548344417777E-8 3407.551265561243 1.796712876514044E36 6.482619624289669E29 8.635373979903987E42 57 58
58 113.63749999999999 0.5750000000000028 1.5247621600711377E-4 13.308317965493663 7.187629786030799E-8 3437.1634664605376 1.7950280428076902E36 6.4765393820988E29 8.619184540735556E42 58 59
59 114.2125 0.5750000000000028 1.5364269894124004E-4 13.295733010874168 7.175632897008804E-8 3466.73697119452 1.79333058212595E36 6.470414922812463E29 8.602890927754651E42 59 60
60 114.7875 0.5749999999999886 1.5479978168687919E-4 13.283020554528584 7.163515996152577E-8 3496.1877697678224 1.7916159239911204E36 6.464228431159194E29 8.586447911442478E42 60 61
61 115.3625 0.575000000000017 1.559541661235082E-4 13.270233561188945 7.151342845020303E-8 3525.6537965431553 1.7898912122946695E36 6.458005625940164E29 8.569924298978004E42 61 62
62 115.9375 0.5749999999999886 1.5711615852204042E-4 13.257473834969685 7.139235153858046E-8 3555.3415106839284 1.788170178391721E36 6.451797899502484E29 8.553454183515992E42 62 63
63 116.51249999999999 0.5750000000000028 1.5829164730253768E-4 13.244782834939352 7.127240199489955E-8 3585.373522154375 1.786458414288022E36 6.445621533301632E29 8.537085743869203E42 63 64
64 117.0875 0.5750000000000028 1.594746157080111E-4 13.232112869607894 7.115301115187004E-8 3615.6269730164545 1.7847494873478214E36 6.439454061478206E29 8.520758295394621E42 64 65
65 117.6625 0.5749999999999886 1.6065306251678084E-4 13.219361613091426 7.103298492401636E-8 3645.858223056056 1.7830295958396524E36 6.433248297740036E29 8.504343558835029E42 65 66
66 118.2375 0.575000000000017 1.6181955425792594E-4 13.206462166617854 7.091152677035776E-8 3675.9175278904167 1.7812897164465093E36 6.42697088537888E29 8.487754783733898E42 66 67
67 118.8125 0.5749999999999886 1.629780180137416E-4 13.193445365416698 7.078899369840728E-8 3705.8860312062866 1.7795340082290473E36 6.420635586071105E29 8.471030480961613E42 67 68
68 119.38749999999999 0.5750000000000028 1.6413993431929792E-4 13.180418684722012 7.066669640462641E-8 3735.9951113438724 1.777776967463904E36 6.414298176289706E29 8.454313552559149E42 68 69
69 119.9625 0.5750000000000028 1.6531620227829612E-4 13.16747539756409 7.054570553259827E-8 3766.466893506115 1.7760311748322154E36 6.407999739890737E29 8.437717891595837E42 69 70
70 120.5375 0.5749999999999886 1.665070454135388E-4 13.154614091233984 7.042601730499496E-8 3797.3073741853077 1.774296439787574E36 6.401740383361562E29 8.421242424864353E42 70 71
71 121.1125 0.575000000000017 1.677015858272305E-4 13.141742831821192 7.030652600354504E-8 3828.295520449256 1.7725603622695317E36 6.395474208204552E29 8.404767732492618E42 71 72
72 121.6875 0.5749999999999886 1.6888559530029522E-4 13.128743847243474 7.018586736976912E-8 3859.1413346223553 1.770807057160937E36 6.389148950901226E29 8.388149997132632E42 72 73
73 122.26249999999999 0.5750000000000028 1.7005388209743593E-4 13.115563510419541 7.006338158463302E-8 3889.7424459065483 1.769029291232548E36 6.382734609815884E29 8.371316113815649E42 73 74
74 122.8375 0.5750000000000028 1.7121325156661176E-4 13.102261865270329 6.993978529432619E-8 3920.23724256011 1.767235163217956E36 6.376260680072058E29 8.354343714439789E42 74 75
75 123.4125 0.5749999999999886 1.7237801071051347E-4 13.088972163461108 6.981669097101889E-8 3950.9139464992686 1.7654426461229324E36 6.369795130551739E29 8.337407114351158E42 75 76
76 123.9875 0.575000000000017 1.735607765215994E-4 13.075799566674494 6.969531616883589E-8 3982.03047855766 1.7636659241719268E36 6.363385319026289E29 8.320635098977692E42 76 77
77 124.5625 0.5749999999999886 1.7476229938264166E-4 13.06274565458098 6.957569178736141E-8 4013.6040804407594 1.761905210431143E36 6.35703212334242E29 8.304029373779123E42 77 78
78 125.13749999999999 0.5750000000000028 1.759704832286268E-4 13.049710087393164 6.945661078229759E-8 4045.388292758267 1.7601469710541248E36 6.350686019217399E29 8.287461139931328E42 78 79
79 125.7125 0.5750000000000028 1.7716811670765117E-4 13.036551616981424 6.933642375455296E-8 4077.0317192313464 1.758372154470723E36 6.344282897516521E29 8.270757145856891E42 79 80
80 126.2875 0.5749999999999886 1.7834553135048228E-4 13.023176574717056 6.92140037996119E-8 4108.341658004017 1.756568126641423E36 6.337774074882567E29 8.253795086012017E42 80 81
81 126.8625 0.575000000000017 1.7950567360946389E-4 13.009611099114217 6.908964795559213E-8 4139.378272395522 1.7547384131331658E36 6.33117158005045E29 8.23660800503803E42 81 82
82 127.4375 0.5749999999999886 1.8066284449856277E-4 12.995981989181223 6.896489929598537E-8 4170.431509115509 1.7529001166163267E36 6.324539469693404E29 8.219360103005926E42 82 83
83 128.0125 0.575000000000017 1.8183415037649188E-4 12.982446265967246 6.884161326436775E-8 4201.846356397009 1.7510744161149512E36 6.3179543945781265E29 8.202250343039686E42 83 84
84 128.5875 0.5749999999999886 1.8303027921399238E-4 12.969084704151426 6.87207439575883E-8 4233.844133208842 1.7492722065305823E36 6.311452205605402E29 8.185375825254831E42 84 85
85 129.1625 0.5749999999999886 1.8424782963322793E-4 12.955867506414302 6.860194027885734E-8 4266.356404372878 1.7474894687960403E36 6.30501915349593E29 8.168699276983745E42 85 86
86 129.7375 0.575000000000017 1.8547144761734476E-4 12.942667025180416 6.848367200590025E-8 4299.070167982532 1.7457089857860802E36 6.298592543670615E29 8.152058601164254E42 86 87
87 130.3125 0.5749999999999886 1.866816456334599E-4 12.929323624345141 6.83640722239091E-8 4331.587229990339 1.7439092257575667E36 6.292099642552715E29 8.135259254671051E42 87 88
88 130.8875 0.575000000000017 1.8786640392624962E-4 12.915722359507113 6.824175474008055E-8 4363.667708200808 1.742074684991393E36 6.285481452850539E29 8.118153333226103E42 88 89
89 131.4625 0.5749999999999886 1.89025602185944E-4 12.901863227027818 6.811670268030326E-8 4395.309349140041 1.7402053629967967E36 6.278736210866495E29 8.100739582249216E42 89 90
90 132.0375 0.5749999999999886 1.901719655730047E-4 12.88785577417581 6.799023731037843E-8 4426.771223687641 1.738316035526753E36 6.271918097574776E29 8.083157586018685E42 90 91
91 132.6125 0.575000000000017 1.9132436499907254E-4 12.87387525159784 6.786447694372206E-8 4458.432894461823 1.736430340416322E36 6.265117244441383E29 8.065633783266579E42 91 92
92 133.1875 0.5749999999999886 1.9250100082545684E-4 12.860071761792573 6.774117356856912E-8 4490.666981912012 1.7345685235143517E36 6.2584011139086154E29 8.048348742993051E42 92 93
93 133.7625 0.575000000000017 1.937101699451796E-4 12.846510849458426 6.762111927322702E-8 4523.644673590305 1.732739425500168E36 6.25180179722992E29 8.031383960764733E42 93 94
94 134.3375 0.5749999999999886 1.9494675394493414E-4 12.833148691867036 6.750379136339136E-8 4557.262366330041 1.7309371355572118E36 6.24529786597729E29 8.014683612983899E42 94 95
95 134.9125 0.5749999999999886 1.9619452100495973E-4 12.8198480715526 6.738754678044283E-8 4591.189798903308 1.7291431457719103E36 6.238822118294444E29 7.998075169261053E42 95 96
96 135.4875 0.575000000000017 1.974315632741573E-4 12.806434743258942 6.727033210580767E-8 4624.9771739332455 1.7273339539164512E36 6.232294963138283E29 7.981347873668712E42 96 97
97 136.0625 0.5749999999999886 1.9864047762044779E-4 12.792745868411593 6.715021082502705E-8 4658.276126226929 1.7254875962980563E36 6.225634787677045E29 7.964296369869378E42 97 98
98 136.6375 0.575000000000017 1.9981220037211666E-4 12.778704269567237 6.702623118593192E-8 4690.902788390919 1.7235936632109215E36 6.218801801895562E29 7.946822912776042E42 98 99
99 137.2125 0.5749999999999886 2.009497639544107E-4 12.764336803232213 6.689871256374869E-8 4722.918980531285 1.7216557770648856E36 6.2118087005261514E29 7.928961840093828E42 99 100
100 137.7875 0.5749999999999886 2.0206732544128688E-4 12.749765342470178 6.676911705597953E-8 4754.612761628448 1.719690376118124E36 6.2047154002607805E29 7.910866536020056E42 100 101
101 138.3625 0.575000000000017 2.0318510386211592E-4 12.735170981146558 6.66396528575117E-8 4786.392787242965 1.7177218863399542E36 6.1976153044554075E29 7.892769056756475E42 101 102
102 138.9375 0.5749999999999886 2.0432431607599763E-4 12.720739497723644 6.65124905891914E-8 4818.6895267110485 1.715775365558863E36 6.1905945701798055E29 7.874894085312124E42 102 103
103 139.5125 0.575000000000017 2.0550198748020651E-4 12.706605206332817 6.638924437870773E-8 4851.8541818846215 1.7138689300862087E36 6.1837178016410216E29 7.857406080254876E42 103 104
104 140.0875 0.5749999999999886 2.0672576119458794E-4 12.692832937567584 6.627068781014333E-8 4886.043015302132 1.7120113242827326E36 6.177015798969348E29 7.840382957863478E42 104 105
105 140.6625 0.5749999999999886 2.079930999256042E-4 12.679400526104134 6.61565591494337E-8 4921.205005431674 1.7101995584860384E36 6.170477952574788E29 7.823796138766412E42 105 106
106 141.2375 0.575000000000017 2.092922361072698E-4 12.666207749211365 6.604566566873936E-8 4957.100927850463 1.708420114638244E36 6.164055709981655E29 7.80752101896817E42 106 107
107 141.8125 0.5749999999999886 2.1060491259303947E-4 12.6530999874273 6.593615500530803E-8 4993.359191894315 1.7066521376417744E36 6.1576734459201856E29 7.79136577903615E42 107 108
108 142.3875 0.575000000000017 2.1190903737196743E-4 12.639903141255875 6.58259663342805E-8 5029.525135432423 1.704872144928968E36 6.1512511111797215E29 7.775121823192755E42 108 109
109 142.9625 0.5749999999999886 2.13184584564893E-4 12.626434298617022 6.571293485571236E-8 5065.196808563041 1.7030554652894283E36 6.1446991518530895E29 7.758564011458213E42 109 110
110 143.5375 0.5749999999999886 2.1441395395279064E-4 12.612543818656574 6.559523483268699E-8 5100.016812699565 1.7011819151409938E36 6.137941625380106E29 7.741505769527619E42 110 111
111 144.11249999999998 0.5749999999999886 2.1558447806141286E-4 12.598124965643832 6.547158418141738E-8 5133.727672335534 1.6992370979513683E36 6.130926325040394E29 7.723817598670536E42 111 112
112 144.6875 0.575000000000017 2.1668925115039264E-4 12.583120380471929 6.53412965795565E-8 5166.188728553487 1.6972132771151154E36 6.1236248710002905E29 7.705430890522328E42 112 113
113 145.2625 0.575000000000017 2.17726952815456E-4 12.567520256536598 6.520425545829255E-8 5197.3725797405705 1.6951091299158983E36 6.116032975031715E29 7.686336829182192E42 113 114
114 145.8375 0.5749999999999886 2.1870085543056837E-4 12.551354189574699 6.506081791565953E-8 5227.344792280386 1.6929286482314048E36 6.1081652371922084E29 7.666574532880858E42 114 115
115 146.4125 0.5749999999999886 2.196176365353934E-4 12.534680120425186 6.491168256992981E-8 5256.240259453309 1.6906796471311925E36 6.100049772971585E29 7.646217261113497E42 115 116
116 146.98749999999998 0.5749999999999886 2.2048588055891192E-4 12.517572474762227 6.47577449643827E-8 5284.232516081451 1.6883721651620068E36 6.091722784385685E29 7.625358143787905E42 116 117
117 147.5625 0.575000000000017 2.213149858218638E-4 12.500111917646752 6.459997492585427E-8 5311.512049503126 1.686017082440072E36 6.083224096369864E29 7.604098201283058E42 117 118
118 148.1375 0.575000000000017 2.2211410491515695E-4 12.482377457845017 6.443932143079141E-8 5338.264366875829 1.6836250556803218E36 6.074592216204552E29 7.582535293314806E42 118 119
