#CellList
#Coordinate Time=0.0
#Id(1) x(2) Volume(3) S(4) D(5) E(6) 3-Vel(7) rho0(8) eps(9) p(10) left(12) right(13) 
101 -0.2619375 3.750000000000142E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 101 102
102 -0.2615625 3.750000000000142E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 102 103
103 -0.2611875 3.749999999999587E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 103 104
104 -0.2608125 3.750000000000142E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 104 105
105 -0.2604375 3.750000000000142E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 105 106
106 -0.2600625 3.750000000000142E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 106 107
107 -0.25968749999999996 3.749999999999587E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 107 108
108 -0.2593125 3.750000000000142E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 108 109
109 -0.2589375 3.750000000000142E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 109 110
110 -0.2585625 3.750000000000142E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 110 111
111 -0.2581875 3.749999999999587E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 111 112
112 -0.2578125 3.750000000000142E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 112 113
113 -0.2574375 3.750000000000142E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 113 114
114 -0.25706249999999997 3.750000000000142E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 114 115
115 -0.25668749999999996 3.749999999999587E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 115 116
116 -0.2563125 3.750000000000142E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 116 117
117 -0.2559375 3.750000000000142E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 117 118
118 -0.2555625 3.749999999999587E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 118 119
119 -0.2551875 3.750000000000142E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 119 120
120 -0.2548125 3.750000000000142E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 120 121
121 -0.2544375 3.750000000000142E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 121 122
122 -0.25406249999999997 3.750000000000142E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 122 123
123 -0.25368749999999995 3.749999999999587E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 123 124
124 -0.2533125 3.750000000000142E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 124 125
125 -0.2529375 3.750000000000142E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 125 126
126 -0.2525625 3.749999999999587E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 126 127
127 -0.2521875 3.750000000000142E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 127 128
128 -0.2518125 3.750000000000142E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 128 129
129 -0.2514375 3.750000000000142E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 129 130
130 -0.25106249999999997 3.750000000000142E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 130 131
131 -0.25068749999999995 3.749999999999587E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 131 132
132 -0.2503125 3.750000000000142E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 132 133
133 -0.24993749999999998 3.750000000000142E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 133 134
134 -0.24956249999999996 3.7499999999998646E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 134 135
135 -0.2491875 3.7499999999998646E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 135 136
136 -0.2488125 3.750000000000142E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 136 137
137 -0.24843749999999998 3.750000000000142E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 137 138
138 -0.24806249999999996 3.7499999999998646E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 138 139
139 -0.2476875 3.7499999999998646E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 139 140
140 -0.2473125 3.750000000000142E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 140 141
141 -0.24693749999999998 3.7499999999998646E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 141 142
142 -0.2465625 3.750000000000142E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 142 143
143 -0.2461875 3.7499999999998646E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 143 144
144 -0.2458125 3.750000000000142E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 144 145
145 -0.24543749999999998 3.7499999999998646E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 145 146
146 -0.2450625 3.750000000000142E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 146 147
147 -0.2446875 3.7499999999998646E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 147 148
148 -0.2443125 3.750000000000142E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 148 149
149 -0.24393749999999997 3.7499999999998646E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 149 150
150 -0.2435625 3.750000000000142E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 150 151
151 -0.2431875 3.7499999999998646E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 151 152
152 -0.2428125 3.750000000000142E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 152 153
153 -0.24243749999999997 3.7499999999998646E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 153 154
154 -0.24206249999999999 3.750000000000142E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 154 155
155 -0.2416875 3.7499999999998646E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 155 156
156 -0.24131249999999999 3.750000000000142E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 156 157
157 -0.24093749999999997 3.7499999999998646E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 157 158
158 -0.24056249999999998 3.750000000000142E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 158 159
159 -0.2401875 3.7499999999998646E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 159 160
160 -0.23981249999999998 3.750000000000142E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 160 161
161 -0.23943749999999997 3.7499999999998646E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 161 162
162 -0.2390625 3.7499999999998646E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 162 163
163 -0.2386875 3.750000000000142E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 163 164
164 -0.23831249999999998 3.750000000000142E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 164 165
165 -0.23793749999999997 3.7499999999998646E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 165 166
166 -0.2375625 3.7499999999998646E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 166 167
167 -0.2371875 3.750000000000142E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 167 168
168 -0.23681249999999998 3.750000000000142E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 168 169
169 -0.23643749999999997 3.7499999999998646E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 169 170
170 -0.2360625 3.7499999999998646E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 170 171
171 -0.2356875 3.750000000000142E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 171 172
172 -0.23531249999999998 3.750000000000142E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 172 173
173 -0.23493749999999997 3.7499999999998646E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 173 174
174 -0.2345625 3.7499999999998646E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 174 175
175 -0.2341875 3.750000000000142E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 175 176
176 -0.23381249999999998 3.750000000000142E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 176 177
177 -0.23343749999999996 3.7499999999998646E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 177 178
178 -0.2330625 3.7499999999998646E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 178 179
179 -0.2326875 3.750000000000142E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 179 180
180 -0.23231249999999998 3.750000000000142E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 180 181
181 -0.23193749999999996 3.7499999999998646E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 181 182
182 -0.2315625 3.7499999999998646E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 182 183
183 -0.2311875 3.750000000000142E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 183 184
184 -0.23081249999999998 3.750000000000142E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 184 185
185 -0.23043749999999996 3.7499999999998646E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 185 186
186 -0.2300625 3.7499999999998646E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 186 187
187 -0.2296875 3.750000000000142E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 187 188
188 -0.22931249999999997 3.750000000000142E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 188 189
189 -0.22893749999999996 3.7499999999998646E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 189 190
190 -0.2285625 3.7499999999998646E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 190 191
191 -0.2281875 3.750000000000142E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 191 192
192 -0.22781249999999997 3.7499999999998646E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 192 193
193 -0.22743750000000001 3.7499999999998646E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 193 194
194 -0.2270625 3.750000000000142E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 194 195
195 -0.2266875 3.750000000000142E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 195 196
196 -0.22631249999999997 3.7499999999998646E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 196 197
197 -0.2259375 3.7499999999998646E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 197 198
198 -0.2255625 3.750000000000142E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 198 199
199 -0.22518749999999998 3.750000000000142E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 199 200
200 -0.22481249999999997 3.7499999999998646E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 200 201
201 -0.2244375 3.7499999999998646E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 201 202
202 -0.2240625 3.750000000000142E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 202 203
203 -0.22368749999999998 3.750000000000142E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 203 204
204 -0.22331249999999997 3.7499999999998646E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 204 205
205 -0.2229375 3.7499999999998646E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 205 206
206 -0.2225625 3.750000000000142E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 206 207
207 -0.22218749999999998 3.750000000000142E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 207 208
208 -0.22181249999999997 3.7499999999998646E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 208 209
209 -0.2214375 3.7499999999998646E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 209 210
210 -0.2210625 3.750000000000142E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 210 211
211 -0.22068749999999998 3.750000000000142E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 211 212
212 -0.22031249999999997 3.7499999999998646E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 212 213
213 -0.2199375 3.7499999999998646E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 213 214
214 -0.2195625 3.750000000000142E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 214 215
215 -0.21918749999999998 3.750000000000142E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 215 216
216 -0.21881249999999997 3.7499999999998646E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 216 217
217 -0.2184375 3.7499999999998646E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 217 218
218 -0.2180625 3.750000000000142E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 218 219
219 -0.21768749999999998 3.750000000000142E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 219 220
220 -0.21731249999999996 3.7499999999998646E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 220 221
221 -0.2169375 3.7499999999998646E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 221 222
222 -0.2165625 3.750000000000142E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 222 223
223 -0.21618749999999998 3.750000000000142E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 223 224
224 -0.21581249999999996 3.7499999999998646E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 224 225
225 -0.2154375 3.7499999999998646E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 225 226
226 -0.2150625 3.750000000000142E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 226 227
227 -0.21468749999999998 3.750000000000142E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 227 228
228 -0.21431249999999996 3.7499999999998646E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 228 229
229 -0.2139375 3.7499999999998646E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 229 230
230 -0.2135625 3.750000000000142E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 230 231
231 -0.21318749999999997 3.750000000000142E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 231 232
232 -0.21281249999999996 3.7499999999998646E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 232 233
233 -0.2124375 3.7499999999998646E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 233 234
234 -0.2120625 3.750000000000142E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 234 235
235 -0.21168749999999997 3.7499999999998646E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 235 236
236 -0.21131250000000001 3.7499999999998646E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 236 237
237 -0.2109375 3.750000000000142E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 237 238
238 -0.21056249999999999 3.750000000000142E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 238 239
239 -0.21018749999999997 3.7499999999998646E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 239 240
240 -0.2098125 3.7499999999998646E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 240 241
241 -0.2094375 3.750000000000142E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 241 242
242 -0.20906249999999998 3.750000000000142E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 242 243
243 -0.20868749999999997 3.7499999999998646E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 243 244
