#x(1) v(2) rho0(3) u(4) p(5) diffrho0(6) diffp(7) diffv(8) diffu(9) 
-0.2750625 0.0 1.0 1.0 1.0 0.0 0.0 0.0 0.0
-0.2746875 0.0 1.0 1.0 1.0 0.0 0.0 0.0 0.0
-0.27431249999999996 0.0 1.0 1.0 1.0 0.0 0.0 0.0 0.0
-0.2739375 0.0 1.0 1.0 1.0 0.0 0.0 0.0 0.0
-0.2735625 0.0 1.0 1.0 1.0 0.0 0.0 0.0 0.0
-0.27318749999999997 0.0 1.0 1.0 1.0 0.0 0.0 0.0 0.0
-0.2728125 0.0 1.0 1.0 1.0 0.0 0.0 0.0 0.0
-0.2724375 0.0 1.0 1.0 1.0 0.0 0.0 0.0 0.0
-0.2720625 0.0 1.0 1.0 1.0 0.0 0.0 0.0 0.0
-0.27168749999999997 0.0 1.0 1.0 1.0 0.0 0.0 0.0 0.0
-0.27131249999999996 0.0 1.0 1.0 1.0 0.0 0.0 0.0 0.0
-0.2709375 0.0 1.0 1.0 1.0 0.0 0.0 0.0 0.0
-0.2705625 0.0 1.0 1.0 1.0 0.0 0.0 0.0 0.0
-0.2701875 0.0 1.0 1.0 1.0 0.0 0.0 0.0 0.0
-0.2698125 0.0 1.0 1.0 1.0 0.0 0.0 0.0 0.0
-0.2694375 0.0 1.0 1.0 1.0 0.0 0.0 0.0 0.0
-0.2690625 0.0 1.0 1.0 1.0 0.0 0.0 0.0 0.0
-0.26868749999999997 0.0 1.0 1.0 1.0 0.0 0.0 0.0 0.0
-0.26831249999999995 0.0 1.0 1.0 1.0 0.0 0.0 0.0 0.0
-0.2679375 0.0 1.0 1.0 1.0 0.0 0.0 0.0 0.0
-0.2675625 0.0 1.0 1.0 1.0 0.0 0.0 0.0 0.0
-0.2671875 0.0 1.0 1.0 1.0 0.0 0.0 0.0 0.0
-0.2668125 0.0 1.0 1.0 1.0 0.0 0.0 0.0 0.0
-0.2664375 0.0 1.0 1.0 1.0 0.0 0.0 0.0 0.0
-0.2660625 0.0 1.0 1.0 1.0 0.0 0.0 0.0 0.0
-0.26568749999999997 0.0 1.0 1.0 1.0 0.0 0.0 0.0 0.0
-0.26531249999999995 0.0 1.0 1.0 1.0 0.0 0.0 0.0 0.0
